datetime,open,high,low,close,volume
2023-01-19,1511.44,1564.43,1509.15,1551.09,308679.4645
2023-01-20,1551.09,1669.9,1542.02,1658.52,440570.9974
2023-01-21,1658.53,1679.26,1616.21,1626.66,494248.6009
2023-01-22,1626.65,1663.89,1604.0,1627.44,431729.6909
2023-01-23,1627.43,1648.09,1585.29,1626.29,407267.1156
2023-01-24,1626.28,1641.46,1535.0,1555.97,462275.3243
2023-01-25,1555.97,1641.0,1518.0,1611.94,646474.9166
2023-01-26,1611.95,1632.84,1577.43,1601.09,532777.8466
2023-01-27,1601.08,1621.0,1552.54,1597.62,512093.3875
2023-01-28,1597.61,1606.83,1555.99,1572.1,313675.6574
2023-01-29,1572.1,1660.0,1566.33,1644.72,551767.9134
2023-01-30,1644.73,1647.53,1535.0,1566.2,595055.3281
2023-01-31,1566.21,1605.18,1561.63,1585.33,348856.6751
2023-02-01,1585.32,1647.77,1555.18,1641.68,474617.1709
2023-02-02,1641.67,1714.68,1626.85,1643.12,629188.8874
2023-02-03,1643.12,1676.0,1625.93,1663.52,464815.032
2023-02-04,1663.52,1695.29,1645.43,1666.38,308227.1295
2023-02-05,1666.39,1673.81,1609.3,1629.02,413579.6748
2023-02-06,1629.01,1658.56,1605.01,1614.29,384119.4197
2023-02-07,1614.28,1678.37,1613.14,1671.03,451922.4
2023-02-08,1671.03,1697.91,1630.47,1650.43,417966.2539
2023-02-09,1650.42,1656.17,1524.4,1545.35,658011.6964
2023-02-10,1545.35,1555.01,1490.0,1513.06,484654.2199
2023-02-11,1513.05,1543.0,1505.0,1538.51,289691.5708
2023-02-12,1538.5,1548.02,1493.08,1514.83,286758.374
2023-02-13,1514.82,1526.1,1461.93,1505.24,643152.3904
2023-02-14,1505.25,1569.0,1482.66,1555.71,668964.3768
2023-02-15,1555.7,1680.0,1542.55,1674.92,581207.8586
2023-02-16,1674.92,1742.97,1633.72,1637.84,832723.6731
2023-02-17,1637.83,1722.0,1630.51,1693.87,579934.663
2023-02-18,1693.81,1713.13,1679.77,1691.62,267305.7813
2023-02-19,1691.62,1726.59,1666.14,1679.75,401023.0477
2023-02-20,1679.74,1719.89,1650.56,1703.27,451314.8335
2023-02-21,1703.27,1716.66,1636.3,1659.76,520354.4688
2023-02-22,1659.77,1666.95,1595.07,1643.14,528875.4809
2023-02-23,1643.15,1679.0,1628.75,1650.53,501305.9717
2023-02-24,1650.52,1664.66,1575.64,1607.8,512515.4982
2023-02-25,1607.8,1608.98,1557.33,1594.58,290188.0391
2023-02-26,1594.58,1651.26,1587.76,1641.36,308607.9941
2023-02-27,1641.37,1665.22,1608.0,1633.45,431861.4129
2023-02-28,1633.45,1647.52,1596.66,1605.23,393523.1647
2023-03-01,1605.24,1669.72,1595.0,1665.22,474456.8235
2023-03-02,1665.23,1677.86,1619.18,1647.86,423023.8082
2023-03-03,1647.86,1649.25,1544.39,1569.45,742816.5976
2023-03-04,1569.45,1577.53,1549.12,1566.73,237640.2606
2023-03-05,1566.74,1588.77,1553.05,1564.58,299240.7415
